section,quantity,parameter,output,value,unit,tag,note
evpi_group_control,nested_estimate,all_nine,npv_musd,0.17932231303937485,MUSD,COMPUTED,definitional control: nested group EVPI over all parameters must reproduce the closed form to within 3 standard errors
evpi_group_control,abs_gap,all_nine,npv_musd,0.22118796284236808,MUSD,COMPUTED,definitional control: nested group EVPI over all parameters must reproduce the closed form to within 3 standard errors
evpi_group_control,nested_standard_error,all_nine,npv_musd,0.6141978670758237,MUSD,COMPUTED,definitional control: nested group EVPI over all parameters must reproduce the closed form to within 3 standard errors
evpi_group_control,tolerance_3se,all_nine,npv_musd,1.842593601227471,MUSD,COMPUTED,definitional control: nested group EVPI over all parameters must reproduce the closed form to within 3 standard errors
evpi_group,evpi,ore_all_four,npv_musd,-0.10225636536237559,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach"
evpi_group,standard_error,ore_all_four,npv_musd,0.22447528936676925,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach"
evpi_group,ci95_low,ore_all_four,npv_musd,-0.5422279325212433,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach"
evpi_group,ci95_high,ore_all_four,npv_musd,0.3377152017964921,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach"
evpi_group,switch_fraction,ore_all_four,npv_musd,0.001953125,fraction,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach"
evpi_group,cost,ore_all_four,,2478.0,USD,DERIVED,"sum of the per-parameter measurement costs in memo_run.MEASUREMENT_COSTS; upper bound, shared sample preparation not netted out"
evpi_group,evpi,ore_chemistry_only,npv_musd,0.03559120892524348,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm"
evpi_group,standard_error,ore_chemistry_only,npv_musd,0.06415876623658086,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm"
